Dates,Sorteos,Nro1,Nro2,Nro3,Nro4,Nro5,Star_1,Star_2
2004-02-13 00:00:00,1,16,29,32,36,41,7,9
2004-02-20 00:00:00,2,7,13,39,47,50,2,5
2004-02-27 00:00:00,3,14,18,19,31,37,4,5
2004-03-05 00:00:00,4,4,7,33,37,39,1,5
2004-03-12 00:00:00,5,15,24,28,44,47,4,5
2004-03-19 00:00:00,6,33,36,37,42,45,4,9
2004-03-26 00:00:00,7,3,4,10,23,43,2,4
2004-04-02 01:00:00,8,4,12,24,27,36,2,9
2004-04-09 01:00:00,9,1,4,10,19,23,2,8
2004-04-16 01:00:00,10,14,15,28,35,40,1,3
2004-04-23 01:00:00,11,6,10,21,45,49,3,5
2004-04-30 01:00:00,12,5,6,16,23,27,6,7
2004-05-07 01:00:00,13,15,16,21,36,38,1,5
2004-05-14 01:00:00,14,1,3,21,32,39,2,6
2004-05-21 01:00:00,15,15,29,37,39,49,4,9
2004-05-28 01:00:00,16,6,11,35,41,44,5,6
2004-06-04 01:00:00,17,9,13,34,41,42,3,7
2004-06-11 01:00:00,18,2,7,8,10,47,1,7
2004-06-18 01:00:00,19,2,23,28,40,43,2,6
2004-06-25 01:00:00,20,3,21,30,34,35,1,2
2004-07-02 01:00:00,21,4,23,24,28,34,1,3
2004-07-09 01:00:00,22,2,5,12,19,44,8,9
2004-07-16 01:00:00,23,24,26,31,38,50,5,8
2004-07-23 01:00:00,24,7,10,27,31,34,3,8
2004-07-30 01:00:00,25,9,10,19,37,50,1,6
2004-08-06 01:00:00,26,5,15,24,35,44,5,6
2004-08-13 01:00:00,27,20,27,41,43,50,5,8
2004-08-20 01:00:00,28,6,9,10,27,35,6,8
2004-08-27 01:00:00,29,1,11,22,28,44,1,9
2004-09-03 01:00:00,30,8,12,14,15,34,6,7
2004-09-10 01:00:00,31,5,25,33,36,38,2,5
2004-09-17 01:00:00,32,15,18,29,39,41,5,8
2004-09-24 01:00:00,33,21,26,27,44,48,1,7
2004-10-01 01:00:00,34,12,20,21,45,48,5,6
2004-10-08 01:00:00,35,1,10,12,16,48,2,6
