0,1,2,3,4
17,25,29,49,50
25,26,29,49,50
25,29,47,49,50
25,29,32,49,50
25,29,46,49,50
25,29,31,49,50
17,25,26,29,50
17,25,29,47,50
17,25,29,32,50
17,25,29,46,50
17,25,29,31,50
25,26,29,47,50
25,26,29,32,50
25,26,29,46,50
25,26,29,31,50
25,29,32,47,50
25,29,46,47,50
25,29,31,47,50
25,29,32,46,50
25,29,31,32,50
25,29,31,46,50
17,25,26,49,50
17,25,47,49,50
17,25,32,49,50
17,25,46,49,50
17,25,31,49,50
25,26,47,49,50
25,26,32,49,50
25,26,46,49,50
25,26,31,49,50
25,32,47,49,50
25,46,47,49,50
25,31,47,49,50
25,32,46,49,50
25,31,32,49,50
25,31,46,49,50
17,25,26,47,50
17,25,26,32,50
17,25,26,46,50
17,25,26,31,50
17,25,32,47,50
17,25,46,47,50
17,25,31,47,50
17,25,32,46,50
17,25,31,32,50
17,25,31,46,50
25,26,32,47,50
25,26,46,47,50
25,26,31,47,50
25,26,32,46,50
25,26,31,32,50
25,26,31,46,50
25,32,46,47,50
25,31,32,47,50
25,31,46,47,50
25,31,32,46,50
17,26,29,49,50
17,29,47,49,50
17,29,32,49,50
17,29,46,49,50
17,29,31,49,50
26,29,47,49,50
26,29,32,49,50
26,29,46,49,50
26,29,31,49,50
29,32,47,49,50
29,46,47,49,50
29,31,47,49,50
29,32,46,49,50
29,31,32,49,50
29,31,46,49,50
17,26,29,47,50
17,26,29,32,50
17,26,29,46,50
17,26,29,31,50
17,29,32,47,50
17,29,46,47,50
17,29,31,47,50
17,29,32,46,50
17,29,31,32,50
17,29,31,46,50
26,29,32,47,50
26,29,46,47,50
26,29,31,47,50
26,29,32,46,50
26,29,31,32,50
26,29,31,46,50
29,32,46,47,50
29,31,32,47,50
29,31,46,47,50
29,31,32,46,50
17,26,47,49,50
17,26,32,49,50
17,26,46,49,50
17,26,31,49,50
17,32,47,49,50
17,46,47,49,50
17,31,47,49,50
17,32,46,49,50
17,31,32,49,50
17,31,46,49,50
26,32,47,49,50
26,46,47,49,50
26,31,47,49,50
26,32,46,49,50
26,31,32,49,50
26,31,46,49,50
32,46,47,49,50
31,32,47,49,50
31,46,47,49,50
31,32,46,49,50
17,26,32,47,50
17,26,46,47,50
17,26,31,47,50
17,26,32,46,50
17,26,31,32,50
17,26,31,46,50
17,32,46,47,50
17,31,32,47,50
17,31,46,47,50
17,31,32,46,50
26,32,46,47,50
26,31,32,47,50
26,31,46,47,50
26,31,32,46,50
31,32,46,47,50
17,25,26,29,49
17,25,29,47,49
17,25,29,32,49
17,25,29,46,49
17,25,29,31,49
25,26,29,47,49
25,26,29,32,49
25,26,29,46,49
25,26,29,31,49
25,29,32,47,49
25,29,46,47,49
25,29,31,47,49
25,29,32,46,49
25,29,31,32,49
25,29,31,46,49
17,25,26,29,47
17,25,26,29,32
17,25,26,29,46
17,25,26,29,31
17,25,29,32,47
17,25,29,46,47
17,25,29,31,47
17,25,29,32,46
17,25,29,31,32
17,25,29,31,46
25,26,29,32,47
25,26,29,46,47
25,26,29,31,47
25,26,29,32,46
25,26,29,31,32
25,26,29,31,46
25,29,32,46,47
25,29,31,32,47
25,29,31,46,47
25,29,31,32,46
17,25,26,47,49
17,25,26,32,49
17,25,26,46,49
17,25,26,31,49
17,25,32,47,49
17,25,46,47,49
17,25,31,47,49
17,25,32,46,49
17,25,31,32,49
17,25,31,46,49
25,26,32,47,49
25,26,46,47,49
25,26,31,47,49
25,26,32,46,49
25,26,31,32,49
25,26,31,46,49
25,32,46,47,49
25,31,32,47,49
25,31,46,47,49
25,31,32,46,49
17,25,26,32,47
17,25,26,46,47
17,25,26,31,47
17,25,26,32,46
17,25,26,31,32
17,25,26,31,46
17,25,32,46,47
17,25,31,32,47
17,25,31,46,47
17,25,31,32,46
25,26,32,46,47
25,26,31,32,47
25,26,31,46,47
25,26,31,32,46
25,31,32,46,47
17,26,29,47,49
17,26,29,32,49
17,26,29,46,49
17,26,29,31,49
17,29,32,47,49
17,29,46,47,49
17,29,31,47,49
17,29,32,46,49
17,29,31,32,49
17,29,31,46,49
26,29,32,47,49
26,29,46,47,49
26,29,31,47,49
26,29,32,46,49
26,29,31,32,49
26,29,31,46,49
29,32,46,47,49
29,31,32,47,49
29,31,46,47,49
29,31,32,46,49
17,26,29,32,47
17,26,29,46,47
17,26,29,31,47
17,26,29,32,46
17,26,29,31,32
17,26,29,31,46
17,29,32,46,47
17,29,31,32,47
17,29,31,46,47
17,29,31,32,46
26,29,32,46,47
26,29,31,32,47
26,29,31,46,47
26,29,31,32,46
29,31,32,46,47
17,26,32,47,49
17,26,46,47,49
17,26,31,47,49
17,26,32,46,49
17,26,31,32,49
17,26,31,46,49
17,32,46,47,49
17,31,32,47,49
17,31,46,47,49
17,31,32,46,49
26,32,46,47,49
26,31,32,47,49
26,31,46,47,49
26,31,32,46,49
31,32,46,47,49
17,26,32,46,47
17,26,31,32,47
17,26,31,46,47
17,26,31,32,46
17,31,32,46,47
26,31,32,46,47
