,0
0,1
1,3
2,2
3,3
4,4
5,2
6,3
7,2
8,2
9,2
10,4
11,2
12,2
13,1
14,2
15,2
16,3
17,3
18,1
19,1
20,1
21,4
22,3
23,4
24,3
25,3
26,3
27,3
28,0
29,0
30,1
31,3
32,2
33,2
34,3
35,4
36,2
37,2
38,4
39,4
40,3
41,4
42,1
43,0
44,2
45,1
46,2
47,4
48,1
49,4
50,2
51,4
52,1
53,2
54,2
55,3
56,2
57,0
58,1
59,1
60,2
61,3
62,1
63,4
64,3
65,4
66,2
67,4
68,3
69,2
70,2
71,2
72,3
73,3
74,2
75,2
76,1
77,3
78,4
79,4
80,5
81,2
82,2
83,3
84,3
85,1
86,2
87,3
88,3
89,1
90,3
91,2
92,3
93,1
94,1
95,1
96,4
97,4
98,2
99,3
100,2
101,1
102,2
103,2
104,1
105,2
106,3
107,2
108,3
109,1
110,2
111,2
112,3
113,4
114,4
115,3
116,1
117,1
118,1
119,1
120,2
121,3
122,2
123,2
124,3
125,1
126,3
127,4
128,3
129,0
130,3
131,2
132,3
133,4
134,2
135,3
136,4
137,3
138,4
139,3
140,2
141,2
142,3
143,2
144,3
145,2
146,4
147,2
148,3
149,1
150,3
151,4
152,2
153,4
154,2
155,2
156,3
157,2
158,2
159,2
160,2
161,3
162,2
163,3
164,3
165,3
166,3
167,1
168,1
169,2
170,2
171,1
172,3
173,2
174,2
175,4
176,4
177,4
178,4
179,3
180,3
181,4
182,3
183,3
184,2
185,4
186,3
187,3
188,2
189,2
190,3
191,2
192,0
193,3
194,2
195,4
196,3
197,4
198,2
199,2
200,4
201,3
202,3
203,3
204,4
205,1
206,3
207,2
208,2
209,3
210,1
211,2
212,3
213,2
214,2
215,0
216,4
217,1
218,1
219,2
220,0
221,3
222,4
223,2
224,3
225,2
226,4
227,3
228,3
229,3
230,3
231,2
232,0
233,2
234,2
235,2
236,0
237,1
238,2
239,2
240,4
241,3
242,2
243,2
244,3
245,2
246,2
247,3
248,4
249,4
250,2
251,1
252,2
253,2
254,2
255,3
256,5
257,2
258,1
259,2
260,3
261,3
262,4
263,3
264,4
265,2
266,3
267,2
268,3
269,3
270,4
271,3
272,2
273,1
274,3
275,4
276,2
277,2
278,4
279,3
280,4
281,2
282,3
283,1
284,3
285,4
286,3
287,2
288,1
289,4
290,3
291,1
292,3
293,3
294,2
295,3
296,3
297,2
298,2
299,4
300,3
301,3
302,2
303,2
304,4
305,3
306,4
307,2
308,2
309,0
310,2
311,3
312,3
313,3
314,4
315,0
316,2
317,4
318,2
319,3
320,3
321,2
322,2
323,3
324,3
325,2
326,3
327,1
328,4
329,2
330,3
331,3
332,2
333,2
334,2
335,2
336,4
337,2
338,4
339,1
340,1
341,1
342,2
343,4
344,2
345,1
346,3
347,4
348,2
349,3
350,2
351,4
352,2
353,2
354,2
355,1
356,4
357,2
358,3
359,1
360,2
361,2
362,1
363,1
364,4
365,4
366,1
367,3
368,2
369,4
370,3
371,2
372,2
373,0
374,2
375,2
376,3
377,2
378,3
379,4
380,2
381,4
382,1
383,2
384,2
385,2
386,2
387,0
388,4
389,1
390,4
391,4
392,4
393,3
394,3
395,2
396,0
397,2
398,2
399,1
400,2
401,2
402,3
403,3
404,1
405,4
406,3
407,3
408,1
409,2
410,1
411,2
412,2
413,1
414,3
415,3
416,3
417,3
418,1
419,2
420,4
421,2
422,3
423,4
424,3
425,3
426,2
427,1
428,3
429,1
430,2
431,3
432,2
433,0
434,2
435,1
436,3
437,3
438,2
439,3
440,1
441,3
442,2
443,2
444,4
445,3
446,2
447,1
448,2
449,3
450,3
451,1
452,4
453,3
454,3
455,0
456,2
457,0
458,3
459,1
460,1
461,2
462,2
463,5
464,4
465,3
466,3
467,2
468,2
469,4
470,4
471,0
472,2
473,3
474,2
475,3
476,2
477,2
478,3
479,3
480,4
481,4
482,4
483,2
484,3
485,2
486,3
487,3
488,2
489,2
490,3
491,1
492,1
493,1
494,2
495,5
496,3
497,1
498,1
499,1
500,2
501,1
502,1
503,2
504,4
505,4
506,3
507,3
508,3
509,2
510,3
511,3
512,0
513,1
514,2
515,3
516,3
517,1
518,2
519,2
520,1
521,3
522,3
523,3
524,1
525,2
526,3
527,1
528,4
529,3
530,4
531,4
532,1
533,3
534,4
535,4
536,2
537,2
538,0
539,4
540,5
541,3
542,2
543,3
544,1
545,3
546,2
547,3
548,2
549,2
550,1
551,2
552,2
553,1
554,4
555,3
556,4
557,2
558,0
559,2
560,1
561,3
562,1
563,3
564,3
565,1
566,2
567,3
568,2
569,2
570,1
571,2
572,3
573,4
574,4
575,3
576,4
577,2
578,3
579,5
580,3
581,4
582,3
583,2
584,3
585,1
586,2
587,3
588,3
589,2
590,3
591,3
592,1
593,5
594,2
595,4
596,0
597,0
598,0
599,2
600,2
601,2
602,2
603,2
604,4
605,2
606,2
607,2
608,2
609,1
610,3
611,3
612,3
613,2
614,2
615,4
616,1
617,1
618,3
619,2
620,3
621,2
622,3
623,0
624,2
625,2
626,2
627,3
628,1
629,3
630,2
631,3
632,1
633,2
634,3
635,2
636,2
637,3
638,2
639,3
640,3
641,4
642,2
643,2
644,5
645,3
646,3
647,2
648,0
649,3
650,3
651,3
652,2
653,4
654,3
655,2
656,1
657,3
658,0
659,1
660,3
661,3
662,1
663,3
664,4
665,3
666,1
667,2
668,1
669,4
670,2
671,3
672,2
673,3
674,5
675,3
676,2
677,0
678,1
679,3
680,3
681,3
682,2
683,4
684,2
685,3
686,2
687,4
688,3
689,2
690,1
691,3
692,4
693,4
694,4
695,4
696,4
697,2
698,5
699,0
700,1
701,2
702,1
703,1
704,1
705,3
706,3
707,2
708,3
709,4
710,2
711,3
712,4
713,1
714,2
715,4
716,2
717,4
718,2
719,4
720,3
721,2
722,2
723,1
724,2
725,2
726,4
727,3
728,2
729,3
730,2
731,3
732,2
733,4
734,2
735,1
736,4
737,2
738,2
739,3
740,3
741,2
742,3
743,2
744,2
745,3
746,3
747,2
748,3
749,3
750,4
751,3
752,3
753,4
754,4
755,1
756,2
757,3
758,1
759,1
760,2
761,2
762,1
763,4
764,2
765,2
766,2
767,3
768,2
769,2
770,3
771,2
772,3
773,3
774,2
775,1
776,3
777,4
778,2
779,2
780,3
781,0
782,1
783,3
784,4
785,2
786,4
787,1
788,3
789,3
790,3
791,5
792,3
793,2
794,2
795,4
796,4
797,2
798,1
799,2
800,5
801,3
802,4
803,1
804,2
805,2
806,0
807,3
808,1
809,4
810,3
811,3
812,2
813,2
814,1
815,2
816,3
817,3
818,2
819,2
820,3
821,4
822,2
823,2
824,4
825,1
826,3
827,0
828,3
829,2
830,4
831,4
832,1
833,4
834,3
835,2
836,3
837,4
838,2
839,2
840,3
841,2
842,1
843,4
844,2
845,2
846,3
847,3
848,3
849,2
850,3
851,1
852,4
853,3
854,2
855,0
856,3
857,3
858,2
859,3
860,3
861,5
862,3
863,3
864,3
865,3
866,1
867,1
868,2
869,4
870,3
871,2
872,3
873,1
874,3
875,3
876,1
877,3
878,1
879,3
880,3
881,1
882,1
883,4
884,3
885,1
886,3
887,4
888,3
889,2
890,2
891,3
892,2
893,2
894,2
895,3
896,1
897,2
898,3
899,3
900,3
901,3
902,3
903,3
904,1
905,3
906,2
907,1
908,2
909,2
910,1
911,3
912,4
913,1
914,2
915,3
916,4
917,1
918,2
919,3
920,1
921,2
922,2
923,4
924,1
925,3
926,1
927,1
928,5
929,3
930,1
931,3
932,4
933,3
934,1
935,2
936,2
937,3
938,2
939,3
940,2
941,2
942,2
943,5
944,3
945,2
946,2
947,3
948,3
949,4
950,3
951,3
952,3
953,1
954,3
955,2
956,2
957,1
958,2
959,2
960,3
961,2
962,2
963,5
964,1
965,3
966,2
967,1
968,2
969,1
970,2
971,3
972,3
973,2
974,2
975,3
976,2
977,2
978,3
979,2
980,4
981,0
982,4
983,1
984,2
985,3
986,3
987,3
988,2
989,2
990,1
991,2
992,4
993,3
994,3
995,2
996,5
997,2
998,4
999,3
1000,2
1001,4
1002,3
1003,3
1004,2
1005,2
1006,2
1007,2
1008,1
1009,2
1010,3
1011,3
1012,3
1013,2
1014,2
1015,3
1016,0
1017,1
1018,1
1019,3
1020,1
1021,4
1022,0
1023,1
1024,3
1025,3
1026,4
1027,5
1028,2
1029,2
1030,3
1031,2
1032,3
1033,3
1034,4
1035,2
1036,1
1037,0
1038,1
1039,0
1040,2
1041,2
1042,3
1043,4
1044,3
1045,3
1046,3
1047,3
1048,3
1049,0
1050,2
1051,2
1052,4
1053,1
1054,2
1055,2
1056,2
1057,4
1058,2
1059,3
1060,3
1061,3
1062,2
1063,0
1064,3
1065,2
1066,5
1067,5
1068,1
1069,4
1070,2
1071,3
1072,0
1073,2
1074,1
1075,3
1076,3
1077,3
1078,1
1079,2
1080,2
1081,0
1082,2
1083,2
1084,2
1085,1
1086,5
1087,3
1088,4
1089,1
1090,2
1091,3
1092,2
1093,5
1094,2
1095,2
1096,2
1097,2
1098,3
1099,2
1100,2
1101,4
1102,2
1103,2
1104,5
1105,3
1106,2
1107,1
1108,2
1109,3
1110,3
1111,2
1112,3
1113,2
1114,2
1115,1
1116,3
1117,4
1118,5
1119,2
1120,3
1121,1
1122,1
1123,4
1124,4
1125,4
1126,1
1127,1
1128,4
1129,1
1130,2
1131,2
1132,2
1133,4
1134,3
1135,1
1136,3
1137,2
1138,2
1139,1
1140,3
1141,2
1142,2
1143,2
1144,1
1145,1
1146,1
1147,2
1148,2
1149,2
1150,1
1151,3
1152,2
1153,2
1154,3
1155,2
1156,2
1157,3
1158,2
1159,1
1160,3
1161,3
1162,3
1163,4
1164,2
1165,0
1166,3
1167,5
1168,3
1169,2
1170,2
1171,3
1172,4
1173,2
1174,2
1175,4
1176,4
1177,2
1178,3
1179,3
1180,2
1181,3
1182,3
1183,1
1184,2
1185,1
1186,4
1187,1
1188,2
1189,3
1190,4
1191,2
1192,3
1193,4
1194,2
1195,5
1196,2
1197,3
1198,3
1199,3
1200,3
1201,3
1202,2
1203,5
1204,1
1205,3
1206,3
1207,2
1208,2
1209,3
1210,4
1211,3
1212,3
1213,3
1214,5
1215,4
1216,1
1217,4
1218,3
1219,5
1220,3
1221,1
1222,1
1223,0
1224,0
1225,3
1226,2
1227,3
1228,4
1229,1
1230,2
1231,1
1232,2
1233,2
1234,1
1235,3
1236,4
1237,2
1238,2
1239,1
1240,2
1241,3
1242,3
1243,4
1244,0
1245,3
1246,4
1247,4
1248,5
1249,2
1250,3
1251,3
1252,2
1253,3
1254,1
1255,5
1256,1
1257,3
