,0
0,4
1,2
2,3
3,2
4,1
5,3
6,2
7,3
8,3
9,3
10,1
11,3
12,3
13,4
14,3
15,3
16,2
17,2
18,4
19,4
20,4
21,1
22,2
23,1
24,2
25,2
26,2
27,2
28,5
29,5
30,4
31,2
32,3
33,3
34,2
35,1
36,3
37,3
38,1
39,1
40,2
41,1
42,4
43,5
44,3
45,4
46,3
47,1
48,4
49,1
50,3
51,1
52,4
53,3
54,3
55,2
56,3
57,5
58,4
59,4
60,3
61,2
62,4
63,1
64,2
65,1
66,3
67,1
68,2
69,3
70,3
71,3
72,2
73,2
74,3
75,3
76,4
77,2
78,1
79,1
80,0
81,3
82,3
83,2
84,2
85,4
86,3
87,2
88,2
89,4
90,2
91,3
92,2
93,4
94,4
95,4
96,1
97,1
98,3
99,2
100,3
101,4
102,3
103,3
104,4
105,3
106,2
107,3
108,2
109,4
110,3
111,3
112,2
113,1
114,1
115,2
116,4
117,4
118,4
119,4
120,3
121,2
122,3
123,3
124,2
125,4
126,2
127,1
128,2
129,5
130,2
131,3
132,2
133,1
134,3
135,2
136,1
137,2
138,1
139,2
140,3
141,3
142,2
143,3
144,2
145,3
146,1
147,3
148,2
149,4
150,2
151,1
152,3
153,1
154,3
155,3
156,2
157,3
158,3
159,3
160,3
161,2
162,3
163,2
164,2
165,2
166,2
167,4
168,4
169,3
170,3
171,4
172,2
173,3
174,3
175,1
176,1
177,1
178,1
179,2
180,2
181,1
182,2
183,2
184,3
185,1
186,2
187,2
188,3
189,3
190,2
191,3
192,5
193,2
194,3
195,1
196,2
197,1
198,3
199,3
200,1
201,2
202,2
203,2
204,1
205,4
206,2
207,3
208,3
209,2
210,4
211,3
212,2
213,3
214,3
215,5
216,1
217,4
218,4
219,3
220,5
221,2
222,1
223,3
224,2
225,3
226,1
227,2
228,2
229,2
230,2
231,3
232,5
233,3
234,3
235,3
236,5
237,4
238,3
239,3
240,1
241,2
242,3
243,3
244,2
245,3
246,3
247,2
248,1
249,1
250,3
251,4
252,3
253,3
254,3
255,2
256,0
257,3
258,4
259,3
260,2
261,2
262,1
263,2
264,1
265,3
266,2
267,3
268,2
269,2
270,1
271,2
272,3
273,4
274,2
275,1
276,3
277,3
278,1
279,2
280,1
281,3
282,2
283,4
284,2
285,1
286,2
287,3
288,4
289,1
290,2
291,4
292,2
293,2
294,3
295,2
296,2
297,3
298,3
299,1
300,2
301,2
302,3
303,3
304,1
305,2
306,1
307,3
308,3
309,5
310,3
311,2
312,2
313,2
314,1
315,5
316,3
317,1
318,3
319,2
320,2
321,3
322,3
323,2
324,2
325,3
326,2
327,4
328,1
329,3
330,2
331,2
332,3
333,3
334,3
335,3
336,1
337,3
338,1
339,4
340,4
341,4
342,3
343,1
344,3
345,4
346,2
347,1
348,3
349,2
350,3
351,1
352,3
353,3
354,3
355,4
356,1
357,3
358,2
359,4
360,3
361,3
362,4
363,4
364,1
365,1
366,4
367,2
368,3
369,1
370,2
371,3
372,3
373,5
374,3
375,3
376,2
377,3
378,2
379,1
380,3
381,1
382,4
383,3
384,3
385,3
386,3
387,5
388,1
389,4
390,1
391,1
392,1
393,2
394,2
395,3
396,5
397,3
398,3
399,4
400,3
401,3
402,2
403,2
404,4
405,1
406,2
407,2
408,4
409,3
410,4
411,3
412,3
413,4
414,2
415,2
416,2
417,2
418,4
419,3
420,1
421,3
422,2
423,1
424,2
425,2
426,3
427,4
428,2
429,4
430,3
431,2
432,3
433,5
434,3
435,4
436,2
437,2
438,3
439,2
440,4
441,2
442,3
443,3
444,1
445,2
446,3
447,4
448,3
449,2
450,2
451,4
452,1
453,2
454,2
455,5
456,3
457,5
458,2
459,4
460,4
461,3
462,3
463,0
464,1
465,2
466,2
467,3
468,3
469,1
470,1
471,5
472,3
473,2
474,3
475,2
476,3
477,3
478,2
479,2
480,1
481,1
482,1
483,3
484,2
485,3
486,2
487,2
488,3
489,3
490,2
491,4
492,4
493,4
494,3
495,0
496,2
497,4
498,4
499,4
500,3
501,4
502,4
503,3
504,1
505,1
506,2
507,2
508,2
509,3
510,2
511,2
512,5
513,4
514,3
515,2
516,2
517,4
518,3
519,3
520,4
521,2
522,2
523,2
524,4
525,3
526,2
527,4
528,1
529,2
530,1
531,1
532,4
533,2
534,1
535,1
536,3
537,3
538,5
539,1
540,0
541,2
542,3
543,2
544,4
545,2
546,3
547,2
548,3
549,3
550,4
551,3
552,3
553,4
554,1
555,2
556,1
557,3
558,5
559,3
560,4
561,2
562,4
563,2
564,2
565,4
566,3
567,2
568,3
569,3
570,4
571,3
572,2
573,1
574,1
575,2
576,1
577,3
578,2
579,0
580,2
581,1
582,2
583,3
584,2
585,4
586,3
587,2
588,2
589,3
590,2
591,2
592,4
593,0
594,3
595,1
596,5
597,5
598,5
599,3
600,3
601,3
602,3
603,3
604,1
605,3
606,3
607,3
608,3
609,4
610,2
611,2
612,2
613,3
614,3
615,1
616,4
617,4
618,2
619,3
620,2
621,3
622,2
623,5
624,3
625,3
626,3
627,2
628,4
629,2
630,3
631,2
632,4
633,3
634,2
635,3
636,3
637,2
638,3
639,2
640,2
641,1
642,3
643,3
644,0
645,2
646,2
647,3
648,5
649,2
650,2
651,2
652,3
653,1
654,2
655,3
656,4
657,2
658,5
659,4
660,2
661,2
662,4
663,2
664,1
665,2
666,4
667,3
668,4
669,1
670,3
671,2
672,3
673,2
674,0
675,2
676,3
677,5
678,4
679,2
680,2
681,2
682,3
683,1
684,3
685,2
686,3
687,1
688,2
689,3
690,4
691,2
692,1
693,1
694,1
695,1
696,1
697,3
